EPISODE,AVERAGE SCORE,MAX_SCORE
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.07,0.07
5,0.0,0.0
6,0.0,0.0
7,0.11,0.11
8,0.0,0.0
9,0.0,0.0
10,0.3,0.3
11,0.35,0.35
12,1.93,1.93
13,0.47,0.47
14,1.42,1.42
15,0.75,0.75
16,1.04,1.04
17,0.54,0.54
18,0.11,0.11
19,0.15,0.15
20,0.23,0.23
21,0.67,0.67
22,0.55,0.55
23,0.7,0.7
24,0.28,0.28
25,0.18,0.18
26,1.73,1.73
27,0.59,0.59
28,0.29,0.29
29,0.49,0.49
30,1.26,1.26
31,3.18,3.18
32,0.74,0.74
33,0.41,0.41
34,0.24,0.24
35,0.24,0.24
36,0.33,0.33
37,0.13,0.13
38,0.59,0.59
39,0.13,0.13
40,0.32,0.32
41,0.41,0.41
42,0.96,0.96
43,0.62,0.62
44,1.0,1.0
45,0.56,0.56
46,0.88,0.88
47,0.38,0.38
48,0.96,0.96
49,0.49,0.49
50,0.82,0.82
51,0.04,0.04
52,0.68,0.68
53,0.19,0.19
54,0.82,0.82
55,0.19,0.19
56,0.28,0.28
57,0.91,0.91
58,0.36,0.36
59,0.79,0.79
60,1.03,1.03
61,0.84,0.84
62,0.18,0.18
63,0.23,0.23
64,0.59,0.59
65,0.38,0.38
66,0.94,0.94
67,1.18,1.18
68,0.37,0.37
69,0.57,0.57
70,0.71,0.71
71,1.16,1.16
72,0.25,0.25
73,0.4,0.4
74,0.46,0.46
75,0.06,0.06
76,0.38,0.38
77,0.29,0.29
78,0.56,0.56
79,0.19,0.19
80,0.69,0.69
81,1.22,1.22
82,0.0,0.0
83,1.17,1.17
84,1.05,1.05
85,0.0,0.0
86,1.36,1.36
87,0.0,0.0
88,0.1,0.1
89,0.62,0.62
90,0.0,0.0
91,0.43,0.43
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.08,0.08
98,0.0,0.0
99,0.0,0.0
100,0.0,0.0
