EPISODE,AVERAGE SCORE,MAX_SCORE
1,0.24,0.24
2,0.16,0.16
3,0.16,0.16
4,0.12,0.12
5,0.2,0.2
6,0.25,0.25
7,0.57,0.57
8,0.69,0.69
9,0.56,0.56
10,0.53,0.53
11,0.41,0.41
12,0.68,0.68
13,0.66,0.66
14,0.87,0.87
15,0.82,0.82
16,0.82,0.82
17,0.95,0.95
18,0.8,0.8
19,0.18,0.18
20,0.02,0.02
21,0.41,0.41
22,0.5,0.5
23,0.61,0.61
24,0.84,0.84
25,0.8,0.8
26,0.88,0.88
27,0.84,0.84
28,0.71,0.71
29,0.66,0.66
30,0.32,0.32
31,0.15,0.15
32,0.0,0.0
33,0.01,0.01
34,0.03,0.03
35,0.01,0.01
36,0.01,0.01
37,0.0,0.0
38,0.0,0.0
39,0.01,0.01
40,0.01,0.01
