EPISODE,AVERAGE SCORE,MAX_SCORE
1,0.24,0.24
2,0.11,0.11
3,0.09,0.09
4,0.08,0.08
5,0.11,0.11
6,0.9,0.9
7,0.99,0.99
8,0.97,0.97
9,0.9,0.9
10,0.93,0.93
11,1.13,1.13
12,1.0,1.0
13,1.18,1.18
14,1.15,1.15
15,0.88,0.88
16,0.87,0.87
17,0.83,0.83
18,1.1,1.1
19,1.16,1.16
20,0.98,0.98
21,0.92,0.92
22,1.13,1.13
23,1.01,1.01
24,1.05,1.05
25,0.84,0.84
26,0.77,0.77
27,1.08,1.08
28,0.8,0.8
29,0.84,0.84
30,0.9,0.9
31,0.74,0.74
32,0.99,0.99
33,0.91,0.91
34,0.93,0.93
35,0.84,0.84
36,0.83,0.83
37,0.92,0.92
38,0.8,0.8
39,0.92,0.92
40,0.86,0.86
41,1.08,1.08
42,0.76,0.76
