EPISODE,AVERAGE SCORE,MAX_SCORE
1,0.18,0.18
2,0.14,0.14
3,0.17,0.17
4,0.14,0.14
5,0.21,0.21
6,0.95,0.95
7,1.13,1.13
8,0.92,0.92
9,0.99,0.99
10,0.79,0.79
11,0.08,0.08
12,0.01,0.01
13,0.37,0.37
14,0.56,0.56
15,0.64,0.64
16,0.37,0.37
17,0.46,0.46
18,0.38,0.38
19,0.44,0.44
20,0.46,0.46
21,0.37,0.37
22,0.54,0.54
23,0.32,0.32
24,0.59,0.59
25,0.42,0.42
26,0.46,0.46
27,0.41,0.41
28,0.32,0.32
29,0.4,0.4
30,0.45,0.45
31,0.33,0.33
32,0.34,0.34
33,0.34,0.34
34,0.31,0.31
35,0.43,0.43
36,0.43,0.43
37,0.49,0.49
38,0.43,0.43
39,0.45,0.45
40,0.35,0.35
41,0.35,0.35
42,0.38,0.38
43,0.36,0.36
44,0.43,0.43
45,0.34,0.34
46,0.39,0.39
47,0.28,0.28
48,0.38,0.38
49,0.33,0.33
50,0.29,0.29
51,0.66,0.66
52,0.66,0.66
53,0.6,0.6
54,0.76,0.76
55,0.56,0.56
56,0.91,0.91
57,0.55,0.55
58,0.74,0.74
59,0.59,0.59
60,0.55,0.55
61,0.6,0.6
62,0.75,0.75
63,0.6,0.6
64,0.71,0.71
65,0.54,0.54
