EPISODE,AVERAGE SCORE,MAX_SCORE
1,0.08,0.08
2,0.13,0.13
3,0.21,0.21
4,0.07,0.07
5,0.14,0.14
6,0.65,0.65
7,0.93,0.93
8,1.02,1.02
9,0.92,0.92
10,0.85,0.85
11,0.84,0.84
12,0.88,0.88
13,0.89,0.89
14,1.0,1.0
15,0.87,0.87
16,0.95,0.95
17,1.04,1.04
18,0.96,0.96
19,0.89,0.89
20,1.09,1.09
21,0.76,0.76
22,0.48,0.48
23,0.1,0.1
24,0.38,0.38
25,0.45,0.45
26,0.62,0.62
27,0.77,0.77
28,0.85,0.85
29,0.79,0.79
30,0.72,0.72
31,0.61,0.61
32,0.74,0.74
33,1.0,1.0
34,0.35,0.35
35,0.32,0.32
36,0.34,0.34
37,0.45,0.45
38,0.53,0.53
39,0.72,0.72
40,0.69,0.69
41,0.14,0.14
42,0.63,0.63
43,0.75,0.75
44,0.23,0.23
45,0.49,0.49
46,0.32,0.32
47,0.35,0.35
48,0.33,0.33
49,0.51,0.51
50,0.69,0.69
51,0.82,0.82
52,1.02,1.02
53,0.88,0.88
54,0.83,0.83
55,0.72,0.72
56,0.92,0.92
57,0.78,0.78
58,0.89,0.89
59,1.07,1.07
60,0.78,0.78
61,0.92,0.92
62,1.0,1.0
63,0.89,0.89
64,0.56,0.56
65,0.01,0.01
66,0.03,0.03
67,0.19,0.19
68,0.73,0.73
69,0.82,0.82
70,0.83,0.83
71,0.59,0.59
72,0.61,0.61
73,0.13,0.13
74,0.11,0.11
75,0.2,0.2
76,0.12,0.12
77,0.1,0.1
78,0.8,0.8
79,0.83,0.83
80,0.03,0.03
81,0.1,0.1
82,0.13,0.13
83,0.21,0.21
84,0.17,0.17
1,0.91,0.91
1,0.09,0.09
2,0.17,0.17
3,0.07,0.07
4,0.21,0.21
5,0.11,0.11
6,0.1,0.1
