EPISODE,AVERAGE SCORE,MAX_SCORE
1,0.09,0.09
2,0.11,0.11
3,0.15,0.15
4,0.77,0.77
5,0.8,0.8
6,0.78,0.78
7,0.73,0.73
8,0.7,0.7
9,0.98,0.98
10,0.7,0.7
11,0.67,0.67
12,0.91,0.91
13,0.89,0.89
14,0.62,0.62
15,0.85,0.85
16,0.84,0.84
17,0.69,0.69
18,0.62,0.62
19,0.83,0.83
20,0.63,0.63
21,0.66,0.66
22,0.74,0.74
23,0.67,0.67
24,0.77,0.77
25,0.7,0.7
26,0.94,0.94
27,0.76,0.76
28,0.86,0.86
29,0.75,0.75
30,0.82,0.82
31,0.81,0.81
32,0.7,0.7
33,0.71,0.71
34,0.58,0.58
35,0.6,0.6
36,0.76,0.76
37,0.74,0.74
38,0.58,0.58
39,0.85,0.85
40,0.77,0.77
41,0.63,0.63
42,0.6,0.6
43,0.56,0.56
44,0.58,0.58
45,0.61,0.61
46,0.65,0.65
47,0.67,0.67
48,0.76,0.76
49,0.62,0.62
50,0.68,0.68
51,0.63,0.63
52,0.56,0.56
53,0.54,0.54
54,0.63,0.63
55,0.65,0.65
56,0.61,0.61
57,0.66,0.66
58,0.66,0.66
59,0.64,0.64
60,0.77,0.77
61,0.64,0.64
62,0.71,0.71
63,0.63,0.63
64,0.76,0.76
65,0.67,0.67
66,0.62,0.62
67,0.71,0.71
68,0.59,0.59
69,0.72,0.72
70,0.54,0.54
71,0.68,0.68
72,0.61,0.61
73,0.63,0.63
74,0.62,0.62
75,0.5,0.5
76,0.65,0.65
77,0.47,0.47
78,0.76,0.76
79,0.52,0.52
80,0.63,0.63
81,0.69,0.69
82,0.62,0.62
83,0.59,0.59
84,0.61,0.61
85,0.59,0.59
86,0.46,0.46
87,0.65,0.65
88,0.59,0.59
89,0.68,0.68
90,0.6,0.6
91,0.66,0.66
92,0.56,0.56
93,0.68,0.68
94,0.59,0.59
95,0.51,0.51
96,0.53,0.53
97,0.77,0.77
98,0.69,0.69
99,0.52,0.52
100,0.57,0.57
101,0.63,0.63
102,0.59,0.59
103,0.5,0.5
104,0.61,0.61
105,0.52,0.52
106,0.65,0.65
107,0.52,0.52
108,0.44,0.44
109,0.51,0.51
110,0.47,0.47
111,0.65,0.65
112,0.52,0.52
113,0.54,0.54
114,0.51,0.51
115,0.52,0.52
116,0.59,0.59
117,0.51,0.51
118,0.61,0.61
119,0.48,0.48
120,0.68,0.68
121,0.73,0.73
122,0.71,0.71
123,0.61,0.61
124,0.58,0.58
125,0.34,0.34
126,0.71,0.71
127,0.54,0.54
128,0.55,0.55
129,0.49,0.49
130,0.73,0.73
131,0.6,0.6
132,0.39,0.39
133,0.53,0.53
134,0.54,0.54
135,0.51,0.51
136,0.47,0.47
137,0.56,0.56
138,0.4,0.4
139,0.42,0.42
140,0.48,0.48
141,0.61,0.61
142,0.51,0.51
143,0.54,0.54
144,0.52,0.52
145,0.45,0.45
146,0.48,0.48
147,0.52,0.52
148,0.56,0.56
149,0.47,0.47
150,0.58,0.58
151,0.53,0.53
152,0.57,0.57
153,0.49,0.49
154,0.51,0.51
155,0.53,0.53
156,0.58,0.58
157,0.51,0.51
158,0.49,0.49
159,0.4,0.4
160,0.43,0.43
161,0.54,0.54
162,0.59,0.59
163,0.49,0.49
164,0.67,0.67
165,0.58,0.58
166,0.57,0.57
167,0.45,0.45
168,0.54,0.54
169,0.49,0.49
170,0.49,0.49
171,0.57,0.57
172,0.48,0.48
173,0.51,0.51
174,0.48,0.48
175,0.39,0.39
176,0.39,0.39
177,0.62,0.62
178,0.58,0.58
1,0.12,0.12
2,0.21,0.21
3,0.2,0.2
4,0.69,0.69
5,0.72,0.72
6,0.57,0.57
7,0.67,0.67
8,0.65,0.65
9,0.79,0.79
10,0.81,0.81
11,0.96,0.96
12,0.88,0.88
13,0.72,0.72
14,0.73,0.73
1,0.15,0.15
2,0.33,0.33
3,0.11,0.11
3,0.16,0.16
4,0.17,0.17
5,0.18,0.18
6,0.41,0.41
7,0.46,0.46
