EPISODE,AVERAGE SCORE,MAX_SCORE
1,0.14,0.14
2,0.14,0.14
3,0.13,0.13
4,0.19,0.19
5,0.17,0.17
6,0.95,0.95
7,0.98,0.98
8,0.85,0.85
9,1.04,1.04
10,1.03,1.03
11,1.13,1.13
12,1.31,1.31
13,1.09,1.09
14,1.12,1.12
15,0.99,0.99
16,0.94,0.94
17,0.84,0.84
18,0.75,0.75
19,1.01,1.01
20,1.18,1.18
21,1.0,1.0
22,1.02,1.02
23,0.87,0.87
24,0.93,0.93
25,0.94,0.94
26,0.88,0.88
27,0.91,0.91
28,0.98,0.98
29,1.05,1.05
30,0.88,0.88
31,0.99,0.99
32,0.9,0.9
33,1.19,1.19
34,0.93,0.93
35,0.84,0.84
36,0.95,0.95
37,0.84,0.84
38,0.73,0.73
39,0.63,0.63
40,0.58,0.58
41,0.57,0.57
42,0.9,0.9
43,0.68,0.68
44,0.67,0.67
45,0.7,0.7
46,0.73,0.73
47,0.77,0.77
48,0.61,0.61
49,0.79,0.79
50,0.58,0.58
51,0.84,0.84
52,0.66,0.66
53,0.77,0.77
54,0.62,0.62
55,0.79,0.79
56,0.54,0.54
57,0.75,0.75
58,0.65,0.65
59,0.79,0.79
60,0.61,0.61
61,0.59,0.59
62,0.55,0.55
63,0.72,0.72
64,0.58,0.58
65,0.71,0.71
66,0.62,0.62
67,0.65,0.65
68,0.72,0.72
69,0.65,0.65
70,0.6,0.6
71,0.55,0.55
72,0.58,0.58
73,0.62,0.62
74,0.58,0.58
75,0.68,0.68
76,0.73,0.73
77,0.67,0.67
78,0.68,0.68
79,0.62,0.62
80,0.51,0.51
81,0.83,0.83
82,0.58,0.58
83,0.66,0.66
84,0.69,0.69
85,0.61,0.61
86,0.5,0.5
87,0.61,0.61
88,0.66,0.66
89,0.68,0.68
90,0.45,0.45
91,0.6,0.6
92,0.72,0.72
93,0.53,0.53
94,0.59,0.59
95,0.55,0.55
96,0.66,0.66
97,0.65,0.65
98,0.58,0.58
99,0.57,0.57
100,0.64,0.64
101,0.53,0.53
102,0.53,0.53
103,0.57,0.57
104,0.59,0.59
105,0.6,0.6
106,0.52,0.52
107,0.59,0.59
108,0.68,0.68
109,0.59,0.59
110,0.57,0.57
111,0.56,0.56
112,0.65,0.65
113,0.51,0.51
114,0.48,0.48
115,0.6,0.6
116,0.61,0.61
117,0.43,0.43
118,0.58,0.58
119,0.57,0.57
120,0.55,0.55
121,0.48,0.48
122,0.47,0.47
123,0.46,0.46
124,0.46,0.46
125,0.55,0.55
126,0.52,0.52
127,0.46,0.46
128,0.52,0.52
129,0.48,0.48
130,0.51,0.51
131,0.59,0.59
132,0.62,0.62
133,0.63,0.63
134,0.47,0.47
135,0.5,0.5
136,0.54,0.54
137,0.47,0.47
138,0.56,0.56
139,0.56,0.56
140,0.44,0.44
141,0.56,0.56
142,0.57,0.57
143,0.69,0.69
144,0.46,0.46
145,0.42,0.42
146,0.54,0.54
147,0.5,0.5
148,0.55,0.55
149,0.48,0.48
150,0.38,0.38
151,0.6,0.6
152,0.54,0.54
153,0.53,0.53
154,0.43,0.43
155,0.44,0.44
156,0.49,0.49
157,0.41,0.41
158,0.41,0.41
159,0.55,0.55
160,0.57,0.57
161,0.58,0.58
162,0.49,0.49
163,0.47,0.47
164,0.5,0.5
165,0.5,0.5
166,0.38,0.38
167,0.41,0.41
168,0.41,0.41
169,0.39,0.39
170,0.46,0.46
171,0.46,0.46
172,0.44,0.44
173,0.47,0.47
174,0.59,0.59
175,0.53,0.53
176,0.42,0.42
177,0.53,0.53
178,0.54,0.54
179,0.38,0.38
180,0.49,0.49
181,0.47,0.47
182,0.53,0.53
183,0.36,0.36
184,0.78,0.78
185,1.04,1.04
186,0.95,0.95
187,0.95,0.95
188,1.03,1.03
189,0.79,0.79
190,0.99,0.99
191,0.85,0.85
192,0.97,0.97
193,0.98,0.98
194,1.15,1.15
195,0.95,0.95
196,1.02,1.02
197,0.75,0.75
198,0.77,0.77
199,0.92,0.92
200,1.15,1.15
201,1.03,1.03
202,0.7,0.7
203,0.92,0.92
204,0.81,0.81
205,0.86,0.86
206,0.96,0.96
207,0.96,0.96
208,0.87,0.87
209,0.85,0.85
210,1.08,1.08
211,0.88,0.88
212,0.89,0.89
213,0.98,0.98
214,0.88,0.88
215,0.81,0.81
216,0.75,0.75
217,1.02,1.02
218,0.94,0.94
219,1.03,1.03
220,0.89,0.89
221,0.77,0.77
222,0.8,0.8
223,0.96,0.96
224,1.07,1.07
225,0.96,0.96
226,0.93,0.93
227,0.87,0.87
228,0.92,0.92
229,0.8,0.8
230,0.66,0.66
231,0.75,0.75
232,0.97,0.97
233,0.77,0.77
234,0.97,0.97
235,1.21,1.21
236,0.89,0.89
237,0.89,0.89
238,0.81,0.81
239,1.16,1.16
240,0.95,0.95
241,0.91,0.91
242,0.98,0.98
243,0.88,0.88
244,0.96,0.96
245,0.97,0.97
246,1.11,1.11
247,1.13,1.13
248,0.8,0.8
249,1.19,1.19
250,0.84,0.84
251,0.76,0.76
252,0.94,0.94
253,0.86,0.86
254,0.86,0.86
255,0.91,0.91
256,0.92,0.92
257,0.82,0.82
258,0.9,0.9
259,0.97,0.97
260,0.8,0.8
261,0.9,0.9
262,0.9,0.9
263,0.98,0.98
264,0.83,0.83
265,0.93,0.93
266,0.88,0.88
267,0.95,0.95
268,0.97,0.97
269,1.0,1.0
270,0.86,0.86
271,0.93,0.93
272,0.86,0.86
273,0.95,0.95
274,0.81,0.81
275,0.81,0.81
276,0.91,0.91
277,0.87,0.87
278,0.98,0.98
279,0.85,0.85
280,1.12,1.12
281,0.78,0.78
282,0.72,0.72
283,1.13,1.13
284,0.8,0.8
285,0.93,0.93
286,0.81,0.81
287,0.92,0.92
288,0.98,0.98
289,0.76,0.76
290,0.89,0.89
291,0.9,0.9
292,0.82,0.82
293,1.09,1.09
294,0.87,0.87
295,0.72,0.72
296,0.83,0.83
297,0.86,0.86
298,0.78,0.78
299,0.96,0.96
300,0.78,0.78
301,0.84,0.84
302,0.89,0.89
303,0.76,0.76
304,0.83,0.83
305,0.91,0.91
