EPISODE,AVERAGE SCORE,MAX_SCORE
1,0.11,0.11
2,0.28,0.28
3,0.08,0.08
4,0.31,0.31
5,0.01,0.01
6,0.0,0.0
7,0.04,0.04
8,0.02,0.02
9,0.03,0.03
10,0.04,0.04
11,0.02,0.02
12,0.01,0.01
13,0.01,0.01
14,0.25,0.25
15,0.47,0.47
16,0.37,0.37
17,0.45,0.45
18,0.45,0.45
19,0.31,0.31
20,0.48,0.48
21,0.4,0.4
22,0.42,0.42
23,0.3,0.3
24,0.47,0.47
25,0.43,0.43
26,0.76,0.76
27,0.86,0.86
28,0.7,0.7
29,0.62,0.62
30,0.53,0.53
31,0.86,0.86
32,0.7,0.7
33,0.73,0.73
34,0.73,0.73
35,0.68,0.68
36,0.77,0.77
37,0.66,0.66
38,0.69,0.69
39,0.68,0.68
40,0.78,0.78
41,0.72,0.72
42,0.68,0.68
43,0.68,0.68
44,0.78,0.78
45,0.6,0.6
46,0.71,0.71
47,0.78,0.78
48,0.53,0.53
49,0.8,0.8
50,0.74,0.74
51,0.62,0.62
52,0.68,0.68
53,0.68,0.68
54,0.75,0.75
55,0.59,0.59
56,0.75,0.75
57,0.58,0.58
58,0.59,0.59
59,0.69,0.69
60,0.6,0.6
61,0.61,0.61
62,0.61,0.61
63,0.47,0.47
64,0.72,0.72
65,0.78,0.78
66,0.61,0.61
67,0.61,0.61
68,0.54,0.54
69,0.71,0.71
70,0.79,0.79
71,0.71,0.71
72,0.58,0.58
73,0.63,0.63
74,0.63,0.63
75,0.53,0.53
76,0.67,0.67
77,0.6,0.6
78,0.67,0.67
79,0.72,0.72
80,0.64,0.64
81,0.66,0.66
82,0.62,0.62
83,0.54,0.54
84,0.58,0.58
85,0.6,0.6
86,0.57,0.57
87,0.55,0.55
88,0.75,0.75
89,0.6,0.6
90,0.54,0.54
91,0.53,0.53
92,0.58,0.58
93,0.69,0.69
94,0.63,0.63
95,0.73,0.73
96,0.46,0.46
97,0.39,0.39
98,0.54,0.54
99,0.53,0.53
100,0.74,0.74
101,0.54,0.54
102,0.53,0.53
103,0.59,0.59
104,0.44,0.44
105,0.74,0.74
106,0.65,0.65
107,0.62,0.62
108,0.62,0.62
109,0.63,0.63
110,0.47,0.47
111,0.4,0.4
112,0.65,0.65
113,0.46,0.46
114,0.66,0.66
115,0.51,0.51
116,0.62,0.62
117,0.1,0.1
118,0.28,0.28
119,0.31,0.31
120,0.5,0.5
121,1.0,1.0
122,1.09,1.09
123,0.99,0.99
124,1.09,1.09
125,0.9,0.9
126,1.12,1.12
127,0.83,0.83
128,0.22,0.22
129,0.01,0.01
130,0.0,0.0
131,0.6,0.6
132,0.58,0.58
133,0.81,0.81
134,1.14,1.14
135,0.85,0.85
136,0.86,0.86
137,0.97,0.97
138,1.05,1.05
139,0.85,0.85
140,0.84,0.84
141,0.79,0.79
142,0.93,0.93
143,0.75,0.75
144,0.98,0.98
145,0.86,0.86
146,1.01,1.01
147,0.84,0.84
148,1.23,1.23
149,0.95,0.95
150,0.82,0.82
151,0.92,0.92
152,0.99,0.99
153,1.03,1.03
154,1.01,1.01
155,0.9,0.9
156,0.98,0.98
157,1.09,1.09
158,0.77,0.77
159,0.97,0.97
160,0.88,0.88
161,0.95,0.95
162,1.06,1.06
163,0.87,0.87
164,0.74,0.74
165,1.03,1.03
166,0.88,0.88
167,0.86,0.86
168,0.9,0.9
169,0.92,0.92
170,0.83,0.83
171,0.76,0.76
172,0.76,0.76
173,0.81,0.81
174,1.04,1.04
175,0.99,0.99
176,0.73,0.73
177,1.19,1.19
178,0.95,0.95
179,0.93,0.93
180,0.8,0.8
181,1.06,1.06
182,0.99,0.99
183,0.92,0.92
184,0.9,0.9
185,0.84,0.84
186,0.81,0.81
187,0.91,0.91
188,0.84,0.84
189,1.05,1.05
190,1.07,1.07
191,0.97,0.97
192,1.01,1.01
193,1.12,1.12
194,0.9,0.9
195,0.83,0.83
196,0.88,0.88
197,0.99,0.99
198,1.16,1.16
199,1.01,1.01
200,0.91,0.91
201,0.77,0.77
202,1.06,1.06
203,0.81,0.81
204,0.82,0.82
205,1.04,1.04
206,0.7,0.7
207,0.82,0.82
208,0.82,0.82
209,0.95,0.95
210,0.65,0.65
211,1.2,1.2
212,0.74,0.74
213,0.77,0.77
214,1.23,1.23
215,0.81,0.81
216,0.99,0.99
217,0.93,0.93
218,0.7,0.7
219,0.73,0.73
220,0.9,0.9
221,0.75,0.75
222,0.78,0.78
223,0.93,0.93
224,0.72,0.72
225,0.98,0.98
226,1.0,1.0
227,0.95,0.95
228,0.33,0.33
229,0.01,0.01
230,0.02,0.02
231,0.22,0.22
232,1.22,1.22
233,0.94,0.94
234,1.03,1.03
235,0.9,0.9
236,0.9,0.9
237,1.04,1.04
238,0.92,0.92
239,1.06,1.06
240,0.33,0.33
241,0.02,0.02
