EPISODE,AVERAGE SCORE,MAX_SCORE
0,0.52,1.26
1,0.65,1.81
2,0.79,2.14
3,0.67,1.93
4,0.67,2.0
5,1.12,2.48
6,0.83,2.01
7,1.11,2.74
8,0.83,2.71
9,0.69,2.76
10,1.05,3.27
11,1.1,3.09
12,1.19,2.6
13,1.44,6.13
14,1.16,2.54
15,1.15,2.74
16,1.1,4.81
17,1.51,4.89
18,1.22,3.38
19,1.42,3.96
20,1.79,11.68
21,1.53,8.29
22,1.69,6.35
23,1.36,3.97
24,1.65,6.66
25,1.32,3.41
26,1.66,3.6
27,1.74,3.74
28,1.87,4.82
29,1.89,5.41
30,1.95,3.96
31,2.14,6.56
32,1.93,5.64
33,2.42,6.42
34,2.1,4.76
35,1.94,4.75
36,2.38,6.11
37,2.23,5.34
38,2.7,10.18
39,2.39,5.3
40,1.83,5.16
41,1.89,4.48
42,1.96,4.63
43,2.09,4.84
44,2.38,5.02
45,2.35,5.1
46,2.37,5.49
47,2.41,6.25
48,2.43,5.81
49,1.99,3.78
50,2.18,8.09
51,2.38,6.17
52,1.99,4.91
53,2.42,5.93
54,2.29,6.29
55,2.02,6.08
56,2.01,5.01
57,1.9,5.66
58,2.53,5.67
59,2.7,7.69
60,1.65,3.61
61,1.84,4.96
62,1.7,4.91
63,1.88,4.61
64,1.89,4.84
65,2.1,4.9
66,1.99,4.96
67,1.73,5.34
68,1.73,4.9
69,1.56,3.68
70,1.93,3.65
71,1.8,5.01
72,1.77,6.41
73,1.9,4.49
74,1.59,3.59
75,1.62,5.06
76,1.92,4.22
77,1.49,4.04
78,1.4,4.59
79,1.89,4.11
80,1.34,4.28
81,1.33,3.23
82,1.31,3.03
83,1.57,4.23
84,1.4,4.71
85,1.64,3.8
86,1.1,3.65
87,1.25,3.13
88,1.35,4.46
89,0.91,2.45
90,1.36,4.56
91,1.26,3.45
92,1.04,4.1
93,0.92,3.89
94,1.03,3.25
95,0.84,2.67
96,0.87,2.4
97,1.28,3.68
98,1.1,2.91
99,0.97,2.85
100,1.02,2.93
101,0.97,2.28
102,0.89,2.89
103,1.13,3.67
104,0.85,3.35
105,0.68,2.4
106,0.73,2.48
107,0.72,2.67
108,0.8,2.63
109,0.65,1.88
110,0.71,1.74
111,0.88,2.68
112,0.75,2.89
113,0.6,1.52
114,0.6,2.07
115,0.63,1.84
116,0.54,2.48
117,0.62,2.51
118,0.65,1.83
119,0.87,2.79
120,0.58,1.84
121,0.71,2.1
122,0.44,2.48
123,0.53,2.16
124,0.7,2.08
125,0.4,2.14
126,0.51,2.04
127,0.43,1.93
128,0.68,1.95
129,0.43,1.23
130,0.51,1.55
131,0.59,2.48
132,0.47,3.17
133,0.35,1.76
134,0.45,2.28
135,0.41,1.49
