EPISODE,AVERAGE SCORE,MAX_SCORE
0,0.51,2.09
1,0.48,1.78
2,0.45,1.5
3,0.39,1.21
4,0.29,1.44
5,0.68,1.92
6,0.6,1.9
7,0.56,1.71
8,0.41,1.6
9,0.32,1.33
10,0.49,1.52
11,0.72,3.07
12,0.59,1.91
13,0.44,1.47
14,0.49,1.35
15,0.72,1.59
16,0.55,1.56
17,0.34,1.54
18,0.62,1.75
19,0.79,1.62
20,0.66,2.28
21,0.59,1.68
22,0.56,1.83
23,0.38,1.13
24,0.54,1.71
25,0.7,1.64
26,0.67,2.5
27,0.61,1.91
28,0.65,2.12
29,0.53,1.93
30,0.64,1.91
31,0.62,1.99
32,0.58,1.85
33,0.66,2.59
34,0.65,2.06
35,0.62,1.78
36,0.72,1.59
37,0.51,1.33
38,0.43,1.74
39,0.64,1.79
40,0.58,1.73
41,0.85,2.8
42,0.54,1.56
43,0.53,1.35
44,0.56,1.89
45,0.47,1.39
46,0.48,1.51
47,0.62,1.74
48,0.58,2.07
49,0.47,1.5
50,0.72,2.22
51,0.58,1.41
52,0.54,1.53
53,0.51,1.42
54,0.61,1.77
55,0.68,1.77
56,0.67,1.83
57,0.7,2.18
58,0.57,2.18
59,0.43,1.75
60,0.45,2.78
61,0.5,1.92
62,0.81,2.03
63,0.62,1.48
64,0.49,1.66
65,0.69,1.57
66,0.49,1.94
67,0.39,1.37
68,0.62,1.61
69,0.56,1.86
70,0.42,2.17
71,0.65,2.39
72,0.51,1.36
73,0.5,1.14
74,0.54,1.18
75,0.47,2.05
76,0.57,1.12
77,0.72,1.7
78,0.58,1.65
79,0.5,1.46
80,0.7,1.51
81,0.59,1.58
82,0.64,2.27
83,0.66,2.53
84,0.54,1.31
85,0.62,1.86
86,0.64,1.73
87,0.64,1.45
88,0.56,1.48
89,0.49,1.61
90,0.46,1.71
91,0.58,1.69
92,0.52,1.41
93,0.54,1.45
94,0.51,1.21
95,0.57,1.53
96,0.54,1.39
97,0.61,1.7
98,0.54,1.72
99,0.62,1.98
100,0.43,1.27
101,0.67,1.6
102,0.6,1.75
103,0.63,2.37
104,0.69,2.03
105,0.58,1.55
106,0.6,2.92
107,0.58,1.87
108,0.53,1.23
109,0.5,1.68
110,0.57,1.95
111,0.54,1.58
112,0.71,1.9
113,0.68,1.94
114,0.73,1.68
115,0.74,2.93
116,0.75,2.16
117,0.51,1.34
118,0.62,1.84
119,0.63,1.76
120,0.74,2.08
121,0.78,1.66
122,0.51,1.36
123,0.64,2.27
124,0.55,1.74
125,0.47,1.23
126,0.57,1.58
127,0.54,1.35
128,0.58,1.52
