EPISODE,AVERAGE SCORE,MAX_SCORE
0,0.33,1.26
1,0.56,2.19
2,0.59,2.0
3,0.46,1.84
4,0.35,1.14
5,0.72,2.0
6,0.7,2.26
7,0.68,2.1
8,0.58,2.82
9,0.48,3.87
10,0.69,2.03
11,0.56,1.58
12,0.57,1.87
13,0.57,2.36
14,0.5,2.23
15,0.68,2.11
16,0.94,3.9
17,0.74,1.64
18,0.7,2.15
19,0.86,3.86
20,0.89,2.33
21,1.2,4.66
22,1.12,2.71
23,1.13,2.95
24,1.75,4.55
25,1.59,3.87
26,1.35,3.17
27,1.26,2.93
28,1.39,3.88
29,1.4,3.15
30,1.44,3.92
31,1.84,4.63
32,1.63,5.92
33,1.08,2.65
34,1.63,5.35
35,1.41,3.89
36,1.43,4.29
37,1.4,3.28
38,1.53,3.77
39,1.59,4.53
40,1.55,3.11
41,1.25,3.75
42,1.24,2.86
43,1.37,3.98
44,1.51,4.56
45,1.23,4.21
46,1.57,3.88
47,1.49,4.24
48,1.67,3.45
49,1.58,4.8
50,1.87,8.39
51,1.45,3.48
52,1.5,3.13
53,1.51,4.46
54,1.34,4.01
55,1.47,3.6
56,1.04,3.43
57,1.42,3.66
58,1.43,4.36
59,1.13,3.82
60,1.33,3.8
61,1.29,4.13
62,1.3,3.19
63,1.11,3.49
64,1.19,3.52
65,1.39,5.43
66,1.09,4.04
67,1.29,3.7
68,1.22,3.56
69,1.24,3.66
70,1.51,3.82
71,1.38,4.3
72,1.38,3.16
73,1.24,3.54
74,1.23,3.79
75,1.28,4.12
76,1.05,3.69
77,1.36,3.88
78,1.34,4.07
79,0.96,3.76
80,0.98,2.38
81,1.12,3.4
82,0.94,2.85
83,0.92,2.45
84,0.91,2.53
85,1.02,3.43
86,0.86,2.12
87,0.72,2.14
88,0.9,2.17
89,0.98,3.37
90,0.65,2.47
91,0.97,2.71
92,1.04,4.25
93,0.62,2.3
94,0.74,2.65
95,0.66,2.14
96,0.73,3.06
97,0.77,2.77
98,0.8,2.26
99,0.83,3.53
100,0.82,2.27
101,0.81,2.16
102,0.93,2.41
103,0.76,2.75
104,0.76,2.02
105,0.61,1.93
106,0.6,1.9
107,0.69,2.12
108,0.65,2.74
109,0.48,1.84
110,0.59,2.15
111,0.65,1.9
112,0.48,1.76
113,0.64,2.48
114,0.46,1.76
115,0.6,1.96
116,0.4,1.9
117,0.46,2.4
118,0.5,2.68
119,0.28,2.03
120,0.48,2.17
121,0.33,1.34
122,0.49,1.75
123,0.39,1.34
124,0.58,2.54
125,0.27,1.39
126,0.47,1.54
127,0.46,1.7
128,0.4,1.49
129,0.34,1.49
130,0.5,1.52
131,0.33,1.53
132,0.4,1.42
133,0.33,1.31
134,0.33,1.93
135,0.25,1.01
136,0.22,1.36
137,0.17,0.69
138,0.33,1.17
139,0.19,1.33
140,0.22,1.05
141,0.22,1.58
142,0.32,1.77
143,0.26,1.18
144,0.26,0.96
145,0.21,0.64
146,0.22,0.72
147,0.18,0.81
148,0.36,1.66
149,0.26,1.19
150,0.17,0.85
151,0.16,1.6
152,0.31,1.1
153,0.3,1.12
154,0.24,0.87
155,0.22,1.04
156,0.12,1.03
157,0.15,1.01
158,0.19,0.9
159,0.16,1.57
160,0.21,1.3
161,0.19,0.91
162,0.16,0.92
163,0.15,0.79
164,0.16,1.19
165,0.22,0.93
166,0.2,0.72
167,0.23,1.06
168,0.32,1.41
169,0.18,0.97
170,0.2,0.82
171,0.16,1.14
172,0.1,0.5
173,0.19,0.91
174,0.15,0.6
175,0.18,1.16
176,0.2,1.28
177,0.15,0.99
178,0.09,0.54
179,0.1,0.49
180,0.15,0.67
181,0.14,1.52
182,0.2,1.32
183,0.11,0.66
184,0.16,0.93
