EPISODE,AVERAGE SCORE,MAX_SCORE
1,0.09,0.09
2,0.03,0.03
3,0.09,0.09
4,0.14,0.14
5,0.2,0.2
6,0.42,0.42
7,0.2,0.2
8,0.07,0.07
9,0.05,0.05
10,0.06,0.06
11,0.33,0.33
12,0.25,0.25
13,0.29,0.29
14,0.55,0.55
15,1.04,1.04
16,0.84,0.84
17,1.04,1.04
18,0.74,0.74
19,0.88,0.88
20,1.61,1.61
21,1.7,1.7
22,1.26,1.26
23,1.29,1.29
24,0.68,0.68
25,0.34,0.34
26,0.36,0.36
27,0.27,0.27
28,0.1,0.1
29,0.36,0.36
30,1.24,1.24
31,1.3,1.3
32,0.9,0.9
33,1.3,1.3
34,1.34,1.34
35,1.76,1.76
36,2.02,2.02
37,2.18,2.18
38,2.24,2.24
39,2.26,2.26
40,2.58,2.58
41,3.17,3.17
42,3.9,3.9
43,2.87,2.87
44,2.62,2.62
45,2.58,2.58
46,2.22,2.22
47,1.98,1.98
48,2.04,2.04
49,2.41,2.41
50,3.39,3.39
51,3.61,3.61
52,3.84,3.84
53,2.91,2.91
54,2.17,2.17
55,2.43,2.43
56,1.89,1.89
57,2.3,2.3
58,2.39,2.39
59,2.1,2.1
60,2.16,2.16
61,2.38,2.38
62,2.53,2.53
63,3.35,3.35
64,3.84,3.84
65,5.04,5.04
66,4.83,4.83
67,5.47,5.47
68,5.25,5.25
69,5.86,5.86
70,5.57,5.57
71,5.49,5.49
72,5.98,5.98
73,5.63,5.63
74,5.8,5.8
75,4.58,4.58
76,5.09,5.09
77,4.8,4.8
78,5.7,5.7
79,5.37,5.37
80,7.14,7.14
81,6.96,6.96
82,6.2,6.2
83,7.05,7.05
84,8.14,8.14
85,6.93,6.93
86,7.62,7.62
87,7.9,7.9
88,9.53,9.53
89,9.55,9.55
90,9.19,9.19
91,8.17,8.17
92,11.1,11.1
93,12.15,12.15
94,9.92,9.92
95,9.88,9.88
96,8.18,8.18
97,7.98,7.98
98,5.43,5.43
99,6.0,6.0
100,5.54,5.54
101,4.58,4.58
102,6.25,6.25
103,9.28,9.28
104,9.74,9.74
105,11.34,11.34
106,9.56,9.56
107,4.94,4.94
108,6.56,6.56
109,4.35,4.35
110,6.56,6.56
111,9.51,9.51
112,10.75,10.75
113,9.65,9.65
114,12.05,12.05
115,9.83,9.83
116,10.92,10.92
117,9.5,9.5
118,10.55,10.55
119,12.88,12.88
120,13.14,13.14
121,13.9,13.9
122,12.87,12.87
123,16.11,16.11
124,15.54,15.54
125,14.22,14.22
126,11.34,11.34
127,10.73,10.73
128,12.12,12.12
129,9.75,9.75
130,9.96,9.96
131,9.44,9.44
132,8.76,8.76
133,8.57,8.57
134,9.13,9.13
135,11.1,11.1
136,11.51,11.51
137,11.27,11.27
138,11.39,11.39
139,11.43,11.43
140,9.85,9.85
141,8.12,8.12
142,7.56,7.56
143,8.88,8.88
144,11.02,11.02
145,10.0,10.0
146,6.86,6.86
147,6.6,6.6
148,6.28,6.28
149,9.46,9.46
150,7.22,7.22
151,8.55,8.55
152,6.51,6.51
153,7.2,7.2
154,6.26,6.26
155,6.93,6.93
156,5.86,5.86
157,9.04,9.04
158,7.3,7.3
159,9.83,9.83
160,9.5,9.5
161,6.23,6.23
162,7.0,7.0
163,2.93,2.93
164,3.74,3.74
165,3.97,3.97
166,2.79,2.79
167,2.23,2.23
168,3.62,3.62
169,2.86,2.86
170,5.03,5.03
171,5.2,5.2
172,3.79,3.79
173,2.51,2.51
174,2.48,2.48
175,2.59,2.59
176,2.95,2.95
177,2.66,2.66
178,3.1,3.1
179,2.76,2.76
180,4.44,4.44
181,6.48,6.48
182,3.02,3.02
183,4.74,4.74
184,5.86,5.86
185,6.5,6.5
186,7.27,7.27
187,9.62,9.62
188,10.25,10.25
189,8.21,8.21
190,8.78,8.78
191,10.42,10.42
192,10.0,10.0
193,10.81,10.81
194,9.99,9.99
195,11.9,11.9
196,13.07,13.07
197,11.03,11.03
198,13.31,13.31
199,15.09,15.09
200,15.24,15.24
201,12.43,12.43
202,11.38,11.38
203,12.83,12.83
204,12.83,12.83
205,12.1,12.1
206,9.02,9.02
207,11.76,11.76
208,13.39,13.39
209,8.73,8.73
210,8.48,8.48
211,12.0,12.0
212,10.9,10.9
213,12.07,12.07
214,13.0,13.0
215,13.4,13.4
216,12.02,12.02
217,8.57,8.57
218,11.14,11.14
219,11.53,11.53
220,13.92,13.92
221,11.0,11.0
222,11.91,11.91
223,14.43,14.43
224,13.66,13.66
225,16.17,16.17
226,13.87,13.87
227,10.66,10.66
228,11.5,11.5
229,12.8,12.8
230,13.4,13.4
231,11.23,11.23
232,11.03,11.03
233,13.18,13.18
234,11.84,11.84
235,13.12,13.12
236,11.52,11.52
237,6.38,6.38
238,5.52,5.52
239,6.47,6.47
240,6.25,6.25
241,5.55,5.55
242,4.04,4.04
243,4.12,4.12
244,2.71,2.71
245,1.19,1.19
246,2.15,2.15
247,1.5,1.5
248,3.37,3.37
249,2.63,2.63
250,1.8,1.8
251,1.5,1.5
252,1.56,1.56
253,3.37,3.37
254,1.72,1.72
255,1.8,1.8
256,1.89,1.89
257,2.72,2.72
258,3.77,3.77
259,1.45,1.45
260,1.07,1.07
261,1.74,1.74
262,1.99,1.99
263,0.94,0.94
264,1.16,1.16
265,0.68,0.68
266,1.51,1.51
267,0.64,0.64
268,1.82,1.82
269,2.79,2.79
270,3.47,3.47
271,1.86,1.86
272,4.03,4.03
273,3.18,3.18
274,4.2,4.2
275,5.44,5.44
276,4.58,4.58
277,6.33,6.33
278,8.12,8.12
279,9.12,9.12
280,8.0,8.0
281,7.59,7.59
282,7.99,7.99
