EPISODE,AVERAGE SCORE,MAX_SCORE
1,0.11,0.43
2,0.13,0.69
3,0.12,0.52
4,0.1,0.26
5,0.1,0.95
6,0.09,0.24
7,0.08,0.25
8,0.08,0.63
9,0.08,0.18
10,0.07,0.24
11,0.07,0.21
12,0.06,0.08
13,0.06,0.1
14,0.06,0.32
1,0.11,0.43
2,0.13,0.69
3,0.12,0.52
1,0.0,0.0
2,0.0,0.08
3,0.01,0.13
4,0.01,0.12
5,0.02,0.22
6,0.02,0.26
7,0.03,0.43
8,0.02,0.2
9,0.02,0.13
10,0.03,0.25
11,0.03,0.25
12,0.03,0.17
13,0.02,0.03
14,0.03,0.38
15,0.03,0.13
16,0.03,0.12
17,0.03,0.13
18,0.03,0.3
19,0.03,0.33
20,0.03,0.14
21,0.03,0.36
22,0.03,0.22
23,0.03,0.14
24,0.03,0.24
25,0.03,0.0
26,0.02,0.1
27,0.03,0.88
28,0.03,0.39
29,0.03,0.17
30,0.03,0.59
31,0.03,0.41
32,0.03,0.51
33,0.03,0.62
34,0.03,0.29
35,0.03,0.18
36,0.03,0.19
37,0.03,0.42
38,0.03,0.61
39,0.03,0.2
40,0.03,0.33
41,0.03,0.43
42,0.03,0.22
43,0.03,0.41
44,0.03,0.11
45,0.03,0.17
46,0.03,0.17
47,0.03,0.16
48,0.03,0.16
49,0.03,0.11
50,0.03,0.22
51,0.03,0.13
