EPISODE,AVERAGE SCORE,MAX_SCORE
0,0.6,2.0
1,0.52,2.28
2,0.58,1.79
3,0.53,2.08
4,0.32,1.12
5,0.53,1.47
6,0.33,1.04
7,0.4,1.05
8,0.5,2.38
9,0.41,1.0
10,0.5,1.3
11,0.56,2.17
12,0.38,1.37
13,0.54,1.66
14,0.63,1.35
15,0.59,1.62
16,0.4,1.41
17,0.51,1.55
18,0.67,3.04
19,0.48,1.8
20,0.65,1.59
21,0.83,2.41
22,0.62,2.31
23,0.62,2.05
24,0.68,1.9
25,0.79,2.18
26,0.55,2.11
27,0.63,2.2
28,0.76,2.14
29,0.84,2.82
30,0.76,2.88
31,0.86,2.19
32,0.88,3.45
33,0.77,2.83
34,0.69,3.19
35,0.75,2.0
36,0.9,2.86
37,0.75,2.02
38,1.07,4.27
39,0.76,1.6
40,0.78,2.38
41,0.69,1.75
42,0.65,2.45
43,0.52,2.55
44,0.64,1.97
45,1.04,2.76
46,1.05,4.85
47,0.91,2.77
48,0.65,1.62
49,0.78,2.82
50,0.61,2.12
51,0.89,2.66
52,0.6,2.57
53,0.68,2.2
54,0.75,2.62
55,1.04,3.09
56,0.95,2.96
57,0.79,2.72
58,0.93,2.92
59,0.96,4.51
60,1.01,2.9
61,0.82,2.38
62,1.03,4.82
63,0.8,2.0
64,0.94,3.4
65,0.66,1.73
66,0.83,2.92
67,0.8,2.56
68,1.22,3.24
69,0.8,2.85
70,0.66,1.98
71,0.63,2.38
72,0.59,2.61
73,0.96,4.44
74,0.54,2.83
75,0.77,1.63
76,0.71,2.4
77,0.91,2.85
78,0.85,3.82
79,0.86,3.54
80,1.03,2.98
81,0.93,2.72
82,1.06,2.95
83,1.1,3.99
84,0.97,2.84
85,1.0,4.67
86,1.1,4.79
87,1.03,2.43
88,1.04,2.37
89,1.09,3.73
90,0.83,3.08
91,0.91,2.57
92,1.09,2.9
93,1.12,2.61
94,0.99,3.29
95,0.97,2.84
96,1.03,3.02
97,1.15,3.28
98,1.18,2.81
99,1.43,4.01
100,1.04,2.67
101,1.07,3.75
102,1.22,3.96
103,1.08,5.11
104,0.94,3.2
105,1.39,3.87
106,1.11,2.76
107,0.73,2.04
108,1.04,2.43
109,1.42,3.92
110,1.34,3.78
111,1.03,4.49
112,0.76,2.21
113,1.27,4.92
114,1.09,3.58
115,1.39,7.64
116,1.31,3.86
117,1.15,2.51
118,1.19,3.41
119,1.25,6.27
120,1.12,3.23
121,1.01,2.56
122,1.07,2.81
123,1.14,2.74
124,1.36,3.87
125,1.04,3.2
126,1.23,3.81
127,1.11,3.33
128,1.24,4.17
129,1.14,3.51
130,1.06,2.78
131,1.31,3.54
132,1.43,4.55
133,1.0,3.17
134,1.48,5.71
135,1.07,2.6
136,1.32,4.03
137,0.85,2.36
138,1.28,3.69
139,1.29,4.17
140,1.26,4.59
141,1.14,2.9
142,1.27,3.08
