EPISODE,AVERAGE SCORE,MAX_SCORE
0,0.07,1.08
1,0.08,1.03
2,0.1,0.97
3,0.13,1.17
4,0.08,0.67
5,0.16,0.97
6,0.08,1.19
7,0.08,1.11
8,0.06,0.9
9,0.07,0.99
10,0.03,0.46
11,0.08,0.61
12,0.04,0.73
13,0.08,0.89
14,0.08,1.02
15,0.06,0.62
0,0.08,0.71
1,0.13,1.31
2,0.05,0.58
3,0.09,0.69
4,0.06,0.52
5,0.09,1.06
0,0.57,1.8
1,0.72,2.18
2,0.52,1.44
3,0.48,1.56
4,0.51,1.63
5,0.74,2.15
6,0.7,2.93
7,0.85,2.46
8,1.06,2.84
9,1.2,3.71
10,1.33,3.04
11,1.11,3.27
12,1.4,3.57
13,1.41,3.34
14,0.99,2.43
15,1.13,3.47
16,1.46,4.14
17,1.5,3.36
18,1.55,5.26
19,1.96,4.54
20,2.21,8.04
21,2.18,6.83
22,2.35,12.41
23,1.78,5.82
24,2.37,8.16
25,2.62,6.16
26,2.86,6.23
27,2.99,7.17
28,3.46,7.75
29,3.28,6.13
30,3.6,7.78
31,2.9,7.85
32,3.91,8.36
33,4.13,11.41
34,3.62,8.45
35,3.01,6.62
36,3.68,10.69
37,3.31,7.29
38,3.77,8.84
39,4.09,11.71
40,4.67,10.4
41,4.48,9.9
42,4.5,10.33
43,3.79,8.84
44,4.1,10.96
45,4.3,8.9
46,4.58,11.92
47,3.83,8.34
48,4.15,9.26
49,4.43,10.1
50,4.55,12.79
51,3.71,9.05
52,3.58,9.66
53,3.89,8.26
54,4.05,8.69
55,4.79,12.33
56,3.91,8.62
57,4.06,10.13
58,3.57,8.42
59,3.82,8.03
60,4.15,7.99
0,3.74,8.24
1,4.12,8.11
2,4.66,15.23
3,3.85,10.01
4,4.01,10.56
5,3.86,10.12
0,4.71,10.04
1,4.56,10.71
2,4.11,9.84
3,4.15,9.56
4,4.49,11.34
5,4.61,10.34
6,4.49,11.13
7,4.42,9.92
8,4.25,12.08
9,4.85,8.54
10,4.23,11.89
11,4.47,10.57
12,4.23,9.3
13,4.3,9.73
14,4.16,9.4
15,4.36,8.29
16,4.85,11.04
17,4.92,14.8
18,4.41,10.69
