EPISODE,AVERAGE SCORE,MAX_SCORE
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.03,0.11
5,0.15,0.64
6,0.18,0.34
7,0.16,0.0
8,0.21,0.61
9,0.29,0.93
10,0.32,0.59
11,0.37,0.84
12,0.44,1.25
13,0.47,0.78
14,0.55,1.55
15,0.54,0.47
16,0.51,0.04
17,0.54,1.02
18,0.52,0.21
19,0.51,0.33
20,0.55,1.25
21,0.54,0.36
22,0.54,0.49
23,0.55,0.84
24,0.54,0.24
25,0.56,1.14
26,0.56,0.52
27,0.55,0.38
28,0.55,0.38
29,0.57,1.25
30,0.57,0.55
31,0.58,0.85
32,0.6,1.32
33,0.62,1.02
34,0.65,1.65
35,0.64,0.57
36,0.65,0.9
37,0.68,1.61
38,0.68,0.65
39,0.7,1.48
40,0.7,0.69
41,0.71,1.15
42,0.7,0.42
43,0.69,0.37
44,0.72,1.81
45,0.71,0.26
46,0.71,0.85
47,0.71,0.47
48,0.73,1.86
49,0.73,0.74
50,0.74,1.36
51,0.73,0.0
52,0.73,0.7
53,0.73,0.83
54,0.73,0.95
55,0.73,0.75
56,0.73,0.33
57,0.74,1.53
58,0.75,1.2
59,0.76,1.29
60,0.77,1.77
61,0.77,0.66
62,0.79,1.7
63,0.78,0.0
64,0.79,1.46
65,0.8,1.57
66,0.8,1.12
67,0.8,0.42
68,0.8,1.05
69,0.81,1.08
70,0.81,1.42
71,0.81,0.51
72,0.82,1.81
73,0.83,1.46
74,0.84,1.36
75,0.83,0.0
76,0.83,1.0
77,0.85,2.41
78,0.86,1.49
79,0.85,0.17
80,0.84,0.21
81,0.84,0.62
82,0.85,1.42
83,0.85,1.05
84,0.84,0.34
85,0.84,0.82
86,0.86,1.96
87,0.86,0.97
88,0.85,0.6
89,0.87,2.14
90,0.86,0.34
91,0.88,2.34
92,0.87,0.0
93,0.87,1.18
94,0.86,0.07
95,0.87,1.82
96,0.88,1.03
97,0.88,1.23
98,0.88,1.26
99,0.88,0.58
100,0.88,1.33
