EPISODE,AVERAGE SCORE,MAX_SCORE
0,0.0,0.0
1,0.09,0.18
2,0.06,0.0
3,0.06,0.0
4,0.0,0.0
5,0.04,0.45
6,0.04,0.0
7,0.04,0.0
8,0.0,0.0
9,0.0,0.0
10,0.02,0.37
11,0.08,0.71
12,0.21,0.74
13,0.19,0.0
14,0.24,0.78
15,0.11,0.0
16,0.14,0.19
0,0.0,0.0
0,0.4,0.61
1,0.39,1.27
2,0.4,1.19
3,0.5,1.17
4,0.42,0.19
5,0.42,1.15
6,0.39,1.39
7,0.43,0.45
8,0.35,0.65
9,0.34,1.43
10,0.3,0.49
11,0.43,0.99
12,0.25,0.07
13,0.27,0.45
14,0.45,1.84
15,0.5,0.39
16,0.45,0.08
17,0.27,1.65
18,0.23,0.17
19,0.33,0.47
20,0.19,0.5
21,0.25,0.42
22,0.33,1.13
23,0.31,0.26
