EPISODE,AVERAGE SCORE,MAX_SCORE
0,0.29,1.26
1,0.97,2.36
2,1.8,4.3
3,2.78,5.2
4,3.73,6.34
5,4.5,6.88
6,5.43,8.85
7,6.34,9.17
8,7.14,9.47
9,7.69,10.02
10,8.23,10.83
11,8.67,11.4
12,9.13,12.66
13,9.66,13.71
14,10.11,14.37
15,10.61,15.15
16,11.13,16.3
17,11.7,17.02
18,12.14,17.33
19,12.68,18.2
20,13.44,18.64
21,14.1,19.2
22,14.65,19.94
23,15.08,20.65
24,15.63,20.65
25,16.12,20.88
26,16.62,21.28
27,17.18,23.15
28,17.74,23.15
29,18.34,23.55
30,18.83,23.55
31,19.18,24.03
32,19.65,24.3
33,19.99,24.69
34,20.24,25.2
35,20.82,25.85
36,21.35,26.12
37,21.83,26.58
38,22.57,27.48
39,23.36,27.95
40,24.07,28.16
41,24.72,29.41
42,25.32,30.34
43,26,30.77
44,26.6,31.13
45,27.1,31.48
46,27.78,32.25
47,28.29,32.92
48,28.79,34.2
49,29.19,34.45
50,29.56,34.45
51,29.84,34.45
52,30.33,34.84
53,30.64,34.88
54,30.87,35.61
55,31.09,35.69
56,31.44,36.03
57,31.79,36.03
58,32.22,36.71
59,32.66,37.09
60,33.06,37.84
61,33.47,37.98
62,33.91,38.95
63,34.45,39.16
64,35.18,40.36
65,35.96,40.36
66,36.94,42.27
67,37.7,43.17
68,38.55,43.71
69,39.38,44.99
70,40.44,45.86
71,41.21,46.57
72,42.09,47.5
73,42.93,48.59
74,43.83,49.37
75,44.65,50.67
76,45.67,52.05
77,46.58,53.2
78,47.53,54.37
79,48.54,55.22
80,49.38,56.36
81,50.23,58.34
82,51.07,58.92
83,51.88,59.66
84,52.63,60.74
85,53.64,61.78
86,54.48,63.25
87,55.21,64.07
88,56.07,65.88
89,56.93,66.99
90,57.89,69.27
91,58.89,70.05
92,59.77,71.3
93,60.73,72.14
94,61.69,73.07
95,62.54,74
96,63.66,74.22
97,64.58,74.78
98,65.59,76.28
99,66.67,76.96
