EPISODE,AVERAGE SCORE,MAX_SCORE
0,0.38,2.43
1,0.38,1.84
2,0.61,2.46
3,0.47,2.46
4,0.44,2.12
5,0.35,2.06
6,0.39,2.68
0,0.35,1.42
1,0.33,2.13
2,0.27,1.97
3,0.29,1.81
4,0.23,1.5
5,0.21,1.17
6,0.22,1.08
7,0.25,1.62
8,0.52,2.62
9,0.54,2.11
10,0.68,2.92
11,0.59,2.2
12,0.44,2.18
13,0.54,2.41
14,0.49,2.01
15,0.71,2.93
16,0.78,4.26
17,0.65,2.73
18,0.77,2.34
19,0.67,2.86
20,0.62,2.34
21,0.8,2.51
22,0.73,2.83
23,0.87,4.17
24,0.67,2.61
25,0.77,2.61
26,0.71,2.82
27,0.66,3.63
28,0.72,3.05
29,0.7,2.21
30,0.71,2.37
31,0.7,2.82
32,0.72,3.66
33,0.69,3.62
34,0.87,9.24
35,0.89,3.5
36,0.69,3.68
37,0.73,2.87
38,0.84,3.62
39,0.67,3.91
40,0.82,3.46
41,0.97,4.53
42,1.01,3.3
43,0.97,3.63
44,1.19,4.16
45,1.14,3.74
46,1.39,4.82
47,1.32,3.99
48,1.23,4.93
49,1.38,6.33
50,1.63,7.59
51,1.64,4.65
52,1.4,4.65
53,1.48,4.83
54,2.01,10.3
55,1.55,5.21
56,1.78,6.72
57,1.95,6.71
58,2.35,7.01
59,2.26,9.36
60,2.37,8.66
61,2.22,7.0
62,2.53,11.92
63,2.26,7.59
64,2.28,6.54
65,1.92,6.96
66,1.94,9.66
67,2.25,7.59
68,1.98,6.37
69,2.44,7.51
70,2.81,15.3
71,2.28,8.0
72,2.14,7.26
73,2.95,8.76
74,2.46,9.67
75,2.47,7.18
76,2.79,7.89
77,2.64,9.43
78,2.81,8.29
79,2.6,9.26
80,2.58,8.71
81,2.7,8.62
82,2.64,8.76
